"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Reitoria","ifbaiano","DOoucp4ke_z","15/09/2025 00:00","""O IF Baiano Campus Serrinha está com inscrições abertas para dois cursos técnicos subsequentes: Instrumento Musical e Agropecuária. As ...""","https://www.instagram.com/reel/DOoucp4ke_z/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","9"
"Reitoria","ifbaiano","DNB0_jOtAOw","06/08/2025 00:00","""ifbaiano.santaines's profile picture · ifbaiano.santainesand2 others. •. Follow. ... Join IF Baiano Serrinha on Instagram. Sign up for Instagram.""","https://www.instagram.com/reel/DNB0_jOtAOw/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","8"
"Reitoria","ifbaiano","DR0BrwdEfKD","03/12/2025 00:00","""IF Baiano Serrinha Campus has open registrations for two subsequent technical courses: Musical Instrument and Agriculture. Registrations run ...""","https://www.instagram.com/reel/DR0BrwdEfKD/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","12"
