"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes","tipo"
"Teixeira_de_Freitas","ifbaianoteixeiradefreitas","DX84AlMEbH5","04/05/2026 23:33","""INSTITUTO FEDERAL Baiano Campus Teixeira de Freitas NÓS SOMOS O IF BAIANO @ifbaianoteixeiradefreitas ... ifbaianoteixeiradefreitas #PARTIU IF. Join FORMAÇÃO ...""","https://www.instagram.com/p/DX84AlMEbH5/","","0","5","Post"
"Teixeira_de_Freitas","ifbaianoteixeiradefreitas","DICDVKwTcGB","22/06/2026 16:32","""INSTITUTO FEDERAL Baiano Campus Teixeira de Freitas NÓS SOMOS O IF BAIANO @ifbaianoteixeiradefreitas · ifbaianoteixeiradefreitas's profile ...""","https://www.instagram.com/p/DICDVKwTcGB/","","0","6","Post"
"Teixeira_de_Freitas","ifbaianoteixeiradefreitas","DJ7cxidyCu4","22/06/2026 16:32","""@ifbaianoteixeiradefreitas · #PraTodosVerem: Card com fundo claro e detalhes nas cores vermelho ...""","https://www.instagram.com/p/DJ7cxidyCu4/","","0","6","Post"
