"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Guanambi","ifbaianoguanambi","DS5ntYvkhhT","30/12/2025 00:00","""Funcionamento do IF Baiano – Campus Guanambi: até 23/01, atendimento das 7h30 às 13h30. Contatos: PROSEL: (77) 2102-6480 Secretaria ...""","https://www.instagram.com/p/DS5ntYvkhhT/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","12"
"Guanambi","ifbaianoguanambi","DOguNlSEQFm","12/09/2025 00:00","""Vem viver a ciência na prática com a gente! Anote na agenda e não fique de fora: Data: 24 e 25 de Abril Local: Praça do Feijão ...""","https://www.instagram.com/p/DOguNlSEQFm/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","9"
"Guanambi","ifbaianoguanambi","DSF-DNJEdhQ","10/12/2025 00:00","""Estudantes do IF Baiano – Campus Guanambi voltaram a se destacar na Olimpíada Brasileira de Astronomia e Astronáutica (OBA) 2025. Após ...""","https://www.instagram.com/p/DSF-DNJEdhQ/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","12"
