"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes","tipo"
"Senhor_do_Bonfim","ifbaianobonfimoficial","DYfAbvOu7bd","18/05/2026 00:00","""ifbaianobonfimoficial. •. Follow ... Photo by Curso Técnico em Alimentos IF Baiano Senhor do Bonfim on May 27, 2026.""","https://www.instagram.com/reel/DYfAbvOu7bd/","","0","5","Reel"
"Senhor_do_Bonfim","ifbaianobonfimoficial","DYfAvqmujqG","18/05/2026 00:00","""22 likes, 0 comments - ifbaianobonfimoficial on May 18, 2026.""","https://www.instagram.com/reel/DYfAvqmujqG/","","0","5","Reel"
"Senhor_do_Bonfim","ifbaianobonfimoficial","DZf2io4pWFv","12/06/2026 16:28","""... likes, 0 comments - ifbaianobonfimoficial on June 12, 2026. ... O IF Baiano – Campus Governador Mangabeira está com inscrições ...""","https://www.instagram.com/reel/DZf2io4pWFv/","","4","6","Reel"
"Senhor_do_Bonfim","ifbaianobonfimoficial","DY41rUIur-j","28/05/2026 00:00","""49 likes, 0 comments - ifbaianobonfimoficial on May 28, 2026.""","https://www.instagram.com/reel/DY41rUIur-j/","","3","5","Reel"
